WORD,AFFIX,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY
kwînēna,-nnye,,se regarder comme digne de mépris. Souffrir dun complexe d'infériorité.,v.,P278-C2,"kwînēna, -nnye, (cfr -nên-), se regarder comme digne de mépris. Souffrir dun complexe d'infériorité."
kunéneza,-je,,négliger son travail.,v.,P279-C1,"kunéneza, -je, (cfr -nén-), négliger son travail."
kunênga,-nze,,"garder plein, tenir plein, empêcher de s'épandre.",v.,P279-C1,"kunênga, -nze, garder plein, tenir plein, empêcher de s'épandre."
kunêngagiza,-je,,"clopiner, marcher péniblement avec les pieds en dehors.",v.,P279-C1,"kunêngagiza, -je, (cfr -nêng-), clopiner, marcher péniblement avec les pieds en dehors (pcq. déformés par les chiques)."
Binenge,,1a,sobriquet de celui qui a souffert de chiques; pied-plat.,n.,P279-C1,"Binenge, 1a, (cfr -nêngagiz-), sobriquet de celui qui a souffert de chiques; pied-plat."
inenge,,,"tache physique, morale; défaut, imperfection, tare, travers",n.,P279-C1,"inenge, (cfr -nêngek-), tache physique, morale; défaut, imperfection, tare, travers. Syn. agahonzi. Inenge gakūrá ou kaminûûza, le défaut dominant. Prov. 1767, 1799, 1891."
Ruziranenge,,1a,"juste, saint; indéfectible",adj.,P279-C1,"Ruziranenge, 1a, (-zir- abhorrer, -nenge 9 imperfection), juste, saint; indéfectible. Immaculée, Muziragahonzi."
akanenge,,12,imperfection,n.,P279-C1,"akanenge, 12, (cfr -nenge 9), imperfection. Syn. akagóramé."
kunêngeka,-tse,,garder en équilibre,v.,P279-C1,"kunêngeka, -tse, (cfr -nêng-), garder en équilibre. Se mettre une pince sur le nez pour retenir la prise de tabac liquide. || Afficher, rendre visible comme le nez au milieu du visage. Bānêngetse amasâáha yâbo ku mabókko, ils exhibent leurs montres à leur poignet. Var., kunângika."
inêngeko,,9|10,pince pour retenir la prise de tabac liquide.,n.,P279-C1,"inêngeko, 9|10, (cfr -nêngek-), pince pour retenir la prise de tabac liquide. Syn. inêngo. M.R.A.C. 41.921."
akanêngeko,néol.,12,croche (note de musique),n.,P279-C1,"akanêngeko, 12, (néol.), croche (note de musique) «dont la hampe ressemble à -nêngeko 9»."
kunêngesēra,-reye,,"être rempli à plein bord, regorger, être près de déborder.",adj.,P279-C1,"kunêngesēra, -reye, (cfr -nêng-), être rempli à plein bord, regorger, être près de déborder."
kwînengesëra,-reye,,"tenir un récipient rempli de liquide, garder en équilibre sur la tête.",v.,P279-C1,"kwînengesëra, -reye, (cfr -nêngesēr-), tenir un récipient rempli de liquide, garder en équilibre sur la tête. || Fig. Rester dans lexpectative; être prudent, garder ses distances. Syn. kwîgengera."
ubwïnengesēre,,14,"prudence, sagesse",n.,P279-C1,"ubwïnengesēre, 14, (cfr -înengesēr-), prudence, sagesse, Syn., ubwîtonzi."
kunêngesereza,-reje,,"emplir, combler, remplir bord, faire bonne mesure",v.,P279-C1,"kunêngesereza, -reje, (cfr -nêngesëēr-), emplir, combler, remplir bord, faire bonne mesure. Syn. kugemēra."
umunêngo,imi-,3|4,bois fendu pour retenir le jus de tabac dans le nez,n.,P279-C1,"umunêngo, imi- 3|4, (cfr -nêng-), bois fendu pour retenir le jus de tabac dans le nez. Syn. inêngeko. M.R.A.C. 41.921."
inêngo,,9|10,petit bois fendu qui pince le nez du priseur,n.,P279-C1,"inêngo, 9|10, (cfr -nêngo 3), petit bois fendu qui pince le nez du priseur. Var. inêngeko."
kunênnya,-neje,,"manifester de la froideur, négliger qqn, rester indifférent, omettre de servir (de la bière à) gqn.",v.,P279-C1,"kunênnya, -neje, (cfr -nên-), manifester de la froideur, négliger qqn, rester indifférent, omettre de servir (de la bière à) gqn. Syn. kugīsha."
ubunêntěre,,14,paresse.,n.,P279-C1,"ubunêntěre, 14, (cfr -nêntěri 7), paresse. Syn. ubunebwe."
ikinêntěri,ibi-,7|8,"indolent, nonchalant.",adj.,P279-C1,"ikinêntěri, ibi- 7|8, (cfr -nêntěre 14), indolent, nonchalant."
kwînēnūka,-tse,,"être impertinent, manquer de retenue, s'attirer le mépris.",v.,P279-C1,"kwînēnūka, -tse, (cfr -nên-), être impertinent, manquer de retenue, s'attirer le mépris."
kwînēnūra,-ye,,"se racheter (par des amendes) après un crime, rentrer en grâce, reprendre sa place dans la société après avoir été traité en paria.",v.,P279-C1,"kwînēnūra, -ye, (cfr -înēnūk-), se racheter (par des amendes) après un crime, rentrer en grâce, reprendre sa place dans la société après avoir été traité en paria."
kunênwa,-nwe,,"être rejeté, être exclu comme profane; être traité en paria; être frappé ostracisme.",v.,P279-C2,"kunênwa, -nwe, (cfr -nên-), être rejeté, être exclu comme profane; être traité en paria; être frappé ostracisme."
umuněnwa,aba-,12,"maudit, méprisable, paria, excommunié.",adj.,P279-C2,"umuněnwa, aba- 12, (cfr -nênw-), maudit, méprisable, paria, excommunié. Syn. igicibwa. L'individu qui avait enfreint la coutume, ou violé un tabou, un interdit se voyait rejeté de la communauté : nul ne voulait plus communiquer avec lui, boire en sa compagnie ou entrer dans sa hutte. La réprobation générale était la pire des condamnations : il ne restait plus au paria qu’à s'eyiler, ou à chercher refuge auprès des gardiens des tombes royales qui s'entouraient ainsi d'une main-d'œuvre de réprouvés profitant du droit d'asile: on ne recherchait pas ceux qui se mettaient au service des familles chargées de la garde des tombes royales."
inênwé,-nênw,9|10,"dédain, mépris morgue.",n.,P279-C2,"inênwé, 9|10, (cfr -nênw-), dédain, mépris morgue."
kunepa,,,langage enfantin,n.,P279-C2,"kunepa, (néol. ?), sans perfectif, langage enfantin, danser sur les coussins d'une voiture, se faire rebondir."
inēra,,9|10,gueux; indigent,adj.,P279-C2,"inēra, 910, gueux; indigent. Syn. umwînazi, inēra, ne tombe pas dans la misère. Négligent. Syn. umunyarwangara. Prov. 983, 1063-1065, 3481."
agakuzanēra,(-kúz-,12,"bière, boisson alcoolisée qui permet au plus pauvre de se donner de caresser les rêves les plus fous.",n.,P279-C2,"agakuzanēra, 12, (-kúz- faire grandir, -nēra 9 gueux), bière, boisson alcoolisée qui permet au plus pauvre de se donner de de caresser les rêves les plus fous."
kunēra,-nēye,,"applic, défégquer.",v.,P279-C2,"kunēra, -nēye, (cfr -nē-), applic, défégquer. « Īnyámănza inêye ku bugari ibarira umwâna wâyo iti buhanagure tuburyé mwănanje n’iryo ntabaríwe naráribônye, une bergeronnette ayant laissé tomber sa fiente sur de la pâte dit à son enfant: nettoie cela et mangeons-la; la pâte devant lui vaut plus que celui qui affirme lavoir vue.» Profitons de loccasion. Prov. 205."
urunēro,-nē-,11,anus,n.,P279-C2,"urunēro, 11, (cfr -nē-), anus. Syn. innyo."
kunēsha,-sheje,,faire déféquer,v.,P279-C2,"kunēsha, -sheje, (cfr. -nē-), faire déféquer. | Vaincre, infliger une défaite, terrasser. Ntûhimbāarwe Kuněsheje, ne te réjouis pas de m'avoir vaincu. Kiranga kirashīma gìhamagara Ntenděri, igishěgu gikûru aríco Ntenděri yó kuzinēsha n’îyó kuziganza, satisfait, K. appelle N. le chef des initiés à qui incombe la charge de vaincre les esprits et de les dominer. Bikore bikuněshe, (devinette), essaie de le faire mais tu ne réussiras pas; wōvúgiriza innnzămba mu kuzimu ?, peux-tu sonner de la trompette de dessous la terre? C'est vouloir la quadrature du cercle."
kunēshwa,-shejwe,,"être vaincu, battu",v.,P279-C2,"kunēshwa, -shejwe, (cfr -nēsh-), être vaincu, battu (aux concours, etc.). Syn. gutsîndwa.,"
ikinetenete,ibi-,7|8,plante (très fragile),n.,P279-C2,"ikinetenete, ibi-, 7|8, plante (très fragile) non identifiée. Prov. 696."
kunéteza,-je,,"soutenir mordicus, ne pas entendre raison, être entêté.",v.,P279-C2,"kunéteza, -je, soutenir mordicus, ne pas entendre raison, être entêté.,"
nêzá,,,bien.,n.,P279-C2,"nêzá, (inv.), (cfr -nêzá 9), bien. Utubuye babá bâsēye nêzá twitwá intsíbo, des petites pierres finement moulues au préalable et qwon appelle grès. Bati nêzá na nêzáâ, c'est très bien, direntils. Nêzá na nêzá, uwo mugabo nâkuryé ntâ yăndi makûúru, très bien, que cet homme te mange, c'est là ma décision. Loc. cfr -gwa."
inêzá,,910,le bien.,n.,P279-C2,"inêzá, 910, (cfr -zá), le bien. Umukózi w’înêzá, une personne bienfaisante, un bienfaiteur. Inêzá yangíriye ntákw isá, le bien qwil ma fait dépasse tout ce quw'on peut dire."
akănēzá,,12,bonheur.,n.,P280-C1,"akănēzá, utwănēzá, 12, (cfr -nêzá 9), bonheur. Akănēzá karamusya ba!, la joie lécrase."
akanyámunêzá,,12,"joie, félicité, gaieté, réjouissance, satisfaction, plaisir, béatitude, bonheur, jouissance",n.,P280-C1,"akanyámunêzá, 12, (cfr -nêzá 9), joie; félicité, gaieté, réjouissance, satisfaction, plaisir; béatitude, bonheur; jouissance. Syn. agahímbāre, urweze, ubuhirwe. N’akanyámunêzá babūra umuganuro, izo ngoma zibūra umuganuro, avec foie, on annonce la fête des semailles et ces tambours annoncent la fête des semailles. Akanyámunêzá mu mutima, consolations divines."
ikinêzánēzá,ibi-,7|8,"heureux caractère, tempérament joyeux, enjoué",n.,P280-C1,"ikinêzánēzá, ibi-, 7|8, (cfr -nêzá 9), heureux caractère, tempérament joyeux, enjoué."
kunêzēra,-reye,,"réjouir, faire plaisir, donner de la joie",v.,P280-C1,"kunêzēra, -reye, (cfr -nêzá 9), réjouir, faire plaisir, donner de la joie. Syn. gubhîmbāra."
kwînëzērerwa,-rewe,,"éprouver de la jote, goûter le bonheur, être comme un coq en pâte",v.,P280-C1,"kwînëzērerwa, -rewe, (cfr -nêzēr-), éprouver de la jote, goûter le bonheur, être comme un coq en pâte."
ibinêzereza,,,"joie, jubilation, plaisir, contentement",n.,P280-C1,"ibinêzereza, 8, (cfr -nêzerez-), joie, jubilation, plaisir, contentement. Syn. ivyîgino."
kunêzereza,-je,,"réjouir, contenter, satisfaire, charmer, plaire",v.,P280-C1,"kunêzereza, -je, (cfr -nêzēr-), réjouir, contenter, satisfaire, charmer, plaire. Igisha m'igishūra ngâyá amajambo anēzéreza bcninká, le départ des vaches et leur retour, voilà des mots qui sonnent joyeusement aux oreilles des pasteurs. Prov. 780. Ant. kubábaza."
ikinêzēro,ibi-,7,"joie, réjouissance. Bonheur. Plaisir",n.,P280-C1,"ikinêzēro, ibi-, 7(8, (cfr -nêzēr-), joie, réjouissance. Bonheur. Plaisir. Syn. uburyche."
kunêzērwa,-rewe,,"se réjouir, être heureux, joyeux, gai, jubiler",v.,P280-C1,"kunêzērwa, -rewe, (cfr -nêzēr-), se réjouir, être heureux, joyeux, gai, jubiler. Aranêzērwa akīrahira inká nāká, est-il content, il traduit sa joie en citant le nom de telle et telle de ses vaches. Izûba yar'înyényěcri icāná máze Abarŭndi bakanêzērwa, le soleil était un astre brillant agréable aux Rundis. Ant. gushávura."
kunganganya,-nije,,"rendre parfaitement égal à, égaler deux objets.",v.,P280-C2,"kunganganya, -nije, (cfr -ngan-), rendre parfaitement égal à, égaler deux objets."
Abangani,,2,bonne famille twa.,n.,P280-C2,"Abangani, 2, bonne famille twa."
urunganwe,,11,égalité.,n.,P280-C2,"urunganwe, 11, (cfr -ngan-), égalité. Syn. ururinganire. Urunganwe mu myâka y'îvûka, légalité d'âge."
kunganya,-nije,,rendre égal. Egaliser.,v.,P280-C2,"kunganya, -nije, (cfr -ngan-), rendre égal. Egaliser. Baranganya leur puissance est égale. En construction négative permet de former un superlatif. Ntawe bingánya ubwênge, il a une intelligence supérieure. Mu kuvúga ntáwe bingánya, c'est un brillant causeur. Bōse ntíbănganya gutóna, il y avait une favorite bien au-dessus des autres femmes. Prov. 14, 465, 519, 538, 2034."
amangara,,6,ouate,n.,P280-C2,"amangara, 6, (sw.), ouate. Syn. ipămpa."
akangaratēte,,12,endroit inhabité,n.,P280-C2,"akangaratēte, 12, rousse; endroit inhabité. Syn. v. -hinga 12. Gusíga uwŭndi mu kangaratēte, laisser qqn tout seul dans un désert."
akangaringari,utw-,12,"lande, lieu désert, inhabité",n.,P280-C2,"akangaringari, utw-, I2NJI3N, (cfr -gâri vaste), lande, lieu désert, inhabité."
ntangere,V-,,gère,v.,P280-C2,"ntangere, V. -gère."
nîbá,-bá,,"particule conditionnelle, au cas où",adv.,P281-C1,"nîbá, (inv, ní  relatif, -bá être), particule conditionnelle, régit le conjonctif, au cas où, s'il se trouve que. Nîbá ubîzi bívuge, dis-le donc si tu le sais."
kuníbaniba,-vye,,être guindé,adj.,P281-C1,"kuníbaniba, -vye, se pavaner, être guindé. Háno iwănyu uraníbaniba, ici, parmi les tiens, tu as fière allure. Kuníbaniba nk'uwămbaye umurinda mu rwîmo, cheminer d'une allure digne."
ubunîbuní,,14,"avarice, parcimonie",n.,P281-C1,"ubunîbuní, 14, avarice, ladrerie, parcimonie. Kugira être avare."
nīburá,-burá,,verbe,v.,P281-C1,"nīburá, v. -burá."
akaniga,-nig-,12,"rhume de cerveau, coryza.",n.,P281-C1,"akaniga, 12, (cfr -nig-), rhume de cerveau, coryza. Syn. agabiri. || Coqueluche."
kunìga,-ze,,"étrangler, saisir à la gorge, étouffer.",v.,P281-C1,"kunìga, -ze, étrangler, saisir à la gorge, étouffer. Baramuniga bata mu gisàáka, elles létranglèrent et jetèrent son cadavre dans un buisson. « Samăndari ukaniga umukěcuru ? Ati nabōnye nagira ndamurubûre, comment, Samandari, tu oses étrangler cette vieille femme? Je voulais la délivrer de ses malheurs, répondit-il.» Même pris en flagrant délit, le coupable se trouve toujours des excuses. || Kuniga ijwí, baisser la voix. Prov. 1233, 1771."
kwîniga,-ze,,s'étrangler; se pendre.,v.,P281-C1,"kwîniga, -ze, (cfr -nig-), s'étrangler; se pendre. Syn. kwîyahura. - l"
kunigagura,-ye,,étrangler un grand nombre de gens.,v.,P281-C1,"kunigagura, -ye, (cfr -nig-), étrangler un grand nombre de gens. Aranigagura ibitári biké, íil étranglait tout ce qui passait à sa portée."
kunigana,-nye,,"se prendre à la gorge, se battre.",v.,P281-C1,"kunigana, -nye, (cfr -nig-), se prendre à la gorge, se battre. || Par ext. se bousculer."
ikinígàngïimbi,-gïmbi,,,v.,P281-C1,"ikinígàngïimbi, v. -gïmbi."
akaniganyi,utu-,1213,"mal de gorge, angine.",n.,P281-C1,"akaniganyi, utu- 1213, (cfr -nig-), mal de gorge, angine. Syn. agapfindopfindo."
ikinige,,7,regard sévère.,n.,P281-C1,"ikinige, 7, (cfr -nig-), regard sévère. Syn. Amurāba ikinige, il le fusille du regard."
ikinigi,ibi-,7|8,gorge,n.,P281-C1,"ikinigi, ibi- 7|8, (cfr -nigir-), gorge. Syn. umuhoògo."
urunigi,inigi,114190,collier de perles,n.,P281-C1,"urunigi, inigi, 114190, (cfr -nigiriz-), collier de perles. Syn. urudėde. M.R.A.C. 41.938."
kunígibura,-ye,,achever d'étrangler,v.,P281-C1,"kunígibura, -ye, (à rapprocher de -nig-), achever d'étrangler, serrer jusgu’à ce que mort sen suive. Syn. kudendūra, guhôhōha."
banigìncuti,-cùti,,,v.,P281-C1,"banigìncuti, v. -cùti,"
kunigira,-ye,,étrangler,v.,P281-C1,"kunigira, -ye, (cfr -nig-), applic., étrangler. Syn. kuryêsūrira. Baja inâma yukumunigira kwiriba, ils projetèrent de létrangler à la fontaine. Kunigira mu měnshi, enfanter dans les plus atroces souffrances. Kunigira mu mucâmo, tuer un innocent, un enfant en bas âge."
kwînigira,-ye,,nuire aux membres de sa famille,v.,P281-C1,"kwînigira, -ye, (cfr -nigir-), nuire aux membres de sa famille. N'’ingwe aringwe ntîryá abăyo, aríko wehó warînigiye, les léopards, tout cruels quw'ils soient, ne se mangent pas entre eux, mais toi, tu as osé nuire aux tiens."
kunigiriza,-je,,mettre autour du cou,v.,P281-C1,"kunigiriza, -je, (cfr -nigi 11 et -nigir-), mettre autour du cou."
kunigirizwa,-jwe,,avoir la gorge serrée,v.,P281-C1,"kunigirizwa, -jwe, (cfr -nigiriz-), avoir la gorge serrée. f kunigirwa, -we, (cfr -nigir-), applic. passif., être étranglé, être égorgé. Jewé nigiwėmwo inzara n'abatwăre n'abarongōzi, moi, les souschefs et leurs sbires ont réussi à m'affamer. Prov, 1442."
kunigīsha,-shije,,faire étrangler,v.,P281-C2,"kunigīsha, -shije, (cfr -nig-), faire étrangler. Etrangler au moyen de. Egorger. Naráânigīshije umugabo umugembe, j'ai plongé ma lance dans la gorge dun homme. Kunigīsha ijîsho, fusiller du regard."
umunigo,imi-,3|4,lacet,n.,P281-C2,"umunigo, imi-, 3|4, (cfr -nigur-), lacet, (piège), bricole, collet. Syn. umutégo."
minigo,mi-,9a,petit insecte non identifié,n.,P281-C2,"minigo, 9a (préf. mi-), petit insecte non identifié."
akanigo,utu-,1213,gorge,n.,P281-C2,"akanigo, utu-, 1213, (cfr -níguk-), gorge, cou. Kugwa mu kanigo, saisir à la gorge."
umunigu,,3,cou sans parures,n.,P281-C2,"umunigu, 3, (cfr -níguk-), cou sans parures. Var. umuniínngu."
ubunigu,,14,étranglement,n.,P281-C2,"ubunigu, 14, (cfr -niguk-), étranglement, rétrécissement (col dune calebasse, d'une pipe)."
kuníguka,-tse,,se rétrécir,v.,P281-C2,"kuníguka, -tse, (cfr -nigu 14 et -nig-), se rétrécir (goulot d'une calebasse, col)."
kunigūra,-ye,,étrangler,v.,P281-C2,"kunigūra, -ye, (cfr -nig-), étrangler. || Relâcher étreinte."
kwînigūra,-ye,,"se pendre, s'étrangler, se suicider.",v.,P281-C2,"kwînigūra, -ye, (cfr -nigūr-), se pendre, s'étrangler, se suicider. Syn. kwîyahura, kwîyica. V. aussi kwîniga, kwîmanika; certains se suicidaient en se jetant à l'eau ou sur leur lance, leur glaive kwîsogota; on se brûlait avec la hutte de chaume. Le roi, sur décision des sages, devait boire du miel empoisonné lorsqu'il avait été jugé incapable ď’assurer la fécondité du pays, v. gutânga: (-nywá, yanyôye). Outre les cas de folie, la déchéance, la ruine, la perte de la sécurité poussaient parfois au suicide. Le pasteur dont toutes les bêtes sont mortes estimait que la vie ne valait plus la peine d’être vécue. Celui qui se sentait abandonné, inutile, déshonoré, rejeté par lautorité, (victime d'une rivale), mettait fin à ses jours. Les hommes semblent attenter plus fréquemment à leurs jours que les femmes. On cite certains cas où, pour impres'sionner son ennemi et le rendre responsabile de sa mort, le candidat au suicide se tuait sur le seuil de celui qu'il voulait livrer à la réprobation publique."
kunígura,-ye,,"rétrécir par le milieu, tailler une gorge, sculpter un bâton.",v.,P281-C2,"kunígura, -ye, (cfr -níguk-), rétrécir par le milieu, tailler une gorge, sculpter un bâton."
kunigūrana,-nye,,"se prendre à la gorge, s'étrangler mutuellement.",v.,P281-C2,"kunigūrana, -nye, (cfr -nigur-) se prendre à la gorge, s'étrangler mutuellement. Syn. kuryêsūrana."
kunigwa,-zwe,,"être étranglé. Etouffer, suffoquer. Subir une injustice.",v.,P281-C2,"kunigwa, -zwe, (cfr -nig-), être étranglé. Syn. kuryêsūrwa. Etouffer, suffoquer. || Fig. Subir une injustice. Kunigwa n'ingoma, être puni en vertu Rune décision royale, tomber sous le coup de la loi. Prov. 737."
akanigwa,,12,un grand nombre,n.,P281-C2,"akanigwa, 12, (cfr -nigan- et -nigw-), un grand nombre. Syn. akavûvu."
umunigwe,imi-,34,libellule,n.,P281-C2,"umunigwe, imi- 34, (cfr -nig-), libellule. Var. umuningwe,"
kuniha,-she,,être en forme,v.,P281-C2,"kuniha, -she, gémir, se plaindre. Kutánihá n'umutwé, être en forme. Sinihá je me porte très bien. Wiīgira nKuwurwâye kăndi utánihá n'umutwé, tu te comportes comme un malade alors que tu was absolument rien. Geindre. Sangloter. Pousser un soupir. Gupfá utánishé, mourir subitement. Râler. Umwé agapfá uwŭndi aríkw araniha, l’un mourut et lautre à ce moment était à || Etre plein à craquer. Ikigega kiranishe, le grenier est plein à craquer."
kunihagira,-ye,,se plaindre,v.,P282-C1,"kunihagira, -ye, (cfr -nih-), gémir, se plaindre. Syn. kwîririra. Sangloter, soupirer sans cesse. || Par ext. Emettre des sons, des coups sourds. Ibisābo biranihagira, les barattes résonnent."
kunihagiza,-je,,faire gémir.,v.,P282-C1,"kunihagiza, -je, (cfr -nihagir-), faire gémir. || Faire résonner. Banihagiza amakûru y'Îîvyó baboná mu gibúgu, les nouvelles gwon propage viennent de faits réellement constatés dans le pays."
kuníhagura,-ye,,"cogner, frapper à coups répétés.",v.,P282-C1,"kuníhagura, -ye, (cfr -nib-), cogner, frapper à coups répétés. Syn. gukúbitagura."
kuníbaguza,-je,,"heurter, frapper au moyen de.",v.,P282-C1,"kuníbaguza, -je, (cfr -níihagur-), heurter, frapper au moyen de. Syn. gukúbitaguza."
rwinihíra,la,,"dolent, de tempérament maladif, hypocondre.",adj.,P282-C1,"rwinihíra, la, préf. ru-, (cfr -nib-), dolent, de tempérament maladif, hypocondre."
kunihiriza,-je,,remplir complètement avec bruit,v.,P282-C1,"kunihiriza, -je, (cfr -nihb-), remplir complètement avec bruit. mu kunihiriza umubïndi w'inzóga nawé aba mu gutêra abiri na bagenzibe, pendant qwil devisait avec ses amis, on était en train de remplir la cruche de ière."
umunihīro,imi-,3|4,gémissement; plaintes,n.,P282-C1,"umunihīro, imi-, 3|4, (cfr -nib-), gémissement; plaintes. Syn. iminiho. Umunihïro uva ku-nzigo, la haine provoque sa plainte. Basigara mu minihīro, ils étaient inconsolables. Bapfāna iminihīro, elles moururent en gémissant."
kunihïīsha,-shije,,faire gémir. Provoquer les sanglots.,v.,P282-C1,"kunihïīsha, -shije, (cfr -nib-), faire gémir. Provoquer les sanglots."
kwînihīsha,-shije,,"se plaindre pour rien, gémir sans raison.",v.,P282-C1,"kwînihīsha, -shije, (cfr -nihīsb-), se plaindre pour rien, gémir sans raison. Syn. kwîrirīsha."
kunihīshwa,-shijwe,,gémir sous de la douleur,v.,P282-C1,"kunihīshwa, -shijwe, (cfr -nihīsh-), gémir sous de la douleur,"
umuníhiza,aba-,1|2,"confident, suivant d'un chef, garde du corps",n.,P282-C1,"umuníhiza, aba-, 1|2, (cfr -níhiz-), confident, suivant d'un chef, garde du corps."
kuníhiza,-je,,asséner; assommer. il vient de lui donner un coup de bâton.,v.,P282-C1,"kuníhiza, -je, (cfr -níhaguz-), asséner; assommer. Ahejeje kumúnihiza ikibando, il vient de lui donner un coup de bâton. || Mugir, hurler. Zā būsa (imfyisi) zirāra ziraníhiza, pendant la nuit, les hyènes ne font que pousser des hurlements. || Kuníhiza ikiyāgo, animer la conversation."
umuniho,imi-,344,"soupir. Plainte, gémissement, sanglot.",n.,P282-C1,"umuniho, imi-, 344, (cfr -nib-), soupir. Plainte, gémissement, sanglot. Syn. igikôhwá. Prov. 689, 928, 3372."
nìmba,,,"absolument rien, rien du tout.",n.,P282-C1,"nìmba, (inv.), particule, nullement, pas du tout. Var. nàmba. Nìmba yó mbí, absolument rien, rien du tout."
kunimba,-mvye,,jeter à terre.,v.,P282-C1,"kunimba, -mvye, jeter à terre. Kunimba impfîzi bāsí, égorger un taureau."
kwînimba,-vye,,tomber.,v.,P282-C1,"kwînimba, -vye, (cfr -nimb-), tomber. Kwinimba isí, se flanquer par terre."
nîmbá,,,peut-être.,part.,P282-C1,"nîmbá, (inv.), particule régissant le conjonctif, peut-être. Nîmbá atâ wur’âha, qui sait? l nya peut-être personne. || Si. Nîmbá utábjïzi wâ muntu yagīye, si tu ne le sais pas encore, cette personne est partie."
akanîmbo,utu-,,petite calebasse à cot évasé dans laquelle on offre de la bière.,n.,P282-C2,"akanîmbo, utu-, (cfr -nîmbo 3), petite calebasse à cot évasé dans laquelle on offre de la bière. M.R.A.C. 41.617."
kunîna,-nnye,,"être fier, arrogant, hautain.",adj.,P282-C2,"kunîna, -nnye, être fier, arrogant, hautain. Faire la moue avec morgue. Refuser. Bāzaniye inzòga nyā muhŭngu aranîna, on apporta de la bière au garçon qui la refusa avec dédain."
kunínagira,-ye,,clopiner; marcher à petits pas.,v.,P282-C2,"kunínagira, -ye, clopiner; marcher à petits pas. Trottiner. Syn. gucáragiza."
umunínnagiro,imi-,3j4,"claudication provoquée, volontaire.",n.,P282-C2,"umunínnagiro, imi-, 3j4, (cfr -nínagir-), claudication provoquée, volontaire. ."
kunínahara,-ye,,être considéré,v.,P282-C2,"kunínahara, -ye, (cfr -níni), être considéré, être entouré de respect."
kunínahariza,-je,,"porter aux nues, louer. Glorifier.",v.,P282-C2,"kunínahariza, -je, (cfr -nínahar-), porter aux nues, louer. Glorifier. Syn. gushīimagiriza."
kunínahaza,-je,,"louer; glorifier, magnifier, exalter.",v.,P282-C2,"kunínahaza, -je, (cfr -nínahbar-), louer; glorifier, magnifier, exalter. Syn. gushīmagiza."
inináhazwa,,5,"louange, gloire.",n.,P282-C2,"inináhazwa, 5, (cfr -nínahaz-), louange, gloire.. Syn. ishīmágizwa."
ubunináhazwa,,14,"grandeur, gloire, magnificence, exaltation",n.,P282-C2,"ubunináhazwa, 14, (cfr -nínahaz-), grandeur, gloire, magnificence, exaltation. Syn. uguhaywa."
kunînanīna,-nnye,,"faire le fier, être méprisant; toiser",v.,P282-C2,"kunînanīna, -nnye, (cfr -nîn-), faire le fier, être méprisant; toiser. Syn. kuníniriza. ."
urunindi,,11410,cicatrice de brûlure,n.,P282-C2,"urunindi, inindi, 11410, cicatrice de brûlure. l| Cautère. || Tatouages ornementaux sur les bras. Var. ininti. Bărīca inindi, imanzi n'imbugu, ils se faisaient des tatouages sur les bras, des tatouages sur le ventre et d'autres sur la figure."
ubuninga,,14,espèce de haricots nains,n.,P282-C2,"ubuninga, 14, espèce de haricots nains."
kuninga,-nze,,prendre au collet,v.,P282-C2,"kuninga, -nze, pincer. Kuninga urwâra mu muhogo, prendre au collet."
kunîngāza,-je,,faire rentrer sous terre,v.,P282-C2,"kunîngāza, -je, (cfr -ning-), humilier, faire rentrer sous terre (fig.). Syn. gutētereza."
kwîningāza,-je,,"s'efforcer, essayer, tenter vainement le coup",v.,P282-C2,"kwîningāza, -je, (cfr -nîngāz-), s'efforcer, essayer, tenter vainement le coup. Syn. kwiyararaza."
inïngiri,,9|10,petite tigue non identifiée,n.,P282-C2,"inïngiri, 9(10, petite tigue non identifiée."
umunîngísha,imi-,,Aeschynomene multicaulis,n.,P282-C2,"umunîngísha, imi-, Aeschynomene multicaulis HARMS."
umuníngu,imi-,34,long cou sans ornement,n.,P282-C2,"umuníngu, imi-, 34, (cfr -nîngur-), long cou sans ornement. Var. umunigu."
kunîngura,-ye,,"tronquer, étêter",v.,P282-C2,"kunîngura, -ye, (cfr -ningu 3 et -ning-), tronquer, étêter (en pinçant avec les ongles)."
umuningwe,imi-,3|4,libellule,n.,P282-C2,"umuningwe, imi- 3|4, libellule. Var. umunigwe."
akaníni,utu-,12|13,"comprimé, gelule, pastille",n.,P283-C1,"akaníni, utu-, 12)13, (néol.), (du fr. quinine), comprimé, gelule, pastille."
ubuníni,,14,"taille, grosseur",n.,P283-C1,"ubuníni, 14, (cfr -níni), taille, grosseur. Inkóno barazibumba bakaziha ubuníni bashātsé n’iminwa bashbātsé, on modèle les cruches et on leur donne la taille désirée et louverture voulue. Epaisseur. Grandeur. Largeur, grande étendue."
kuníninganya,-nije,,"trembler, bredouiller de peur",v.,P283-C1,"kuníninganya, -nije, trembler, bredouiller de peur."
umuníniriji,aba-,1|2,avare plein de morgue,adj.,P283-C1,"umuníniriji, aba-, 1|2, (cfr -níniriz-), avare plein de morgue. Var. umunínirizi."
iníniriji,,9|10,avare et dédaigneux.,adj.,P283-C1,"iníniriji, 9|10, (cfr -níniriji 1), avare et dédaigneux. Ar'îníniriji, il refuse avec hauteur."
